,City,Cloudiness,Humidity,Latitude,Max Temperature,Wind Speed
179,Glencoe,0,53,-28.17,40.64,2.41
180,Columbus,1,62,32.46,87.80000000000001,4.1
181,Walvis Bay,0,100,-22.95,57.74,4.31
182,High Rock,75,66,26.63,84.2,3.1
183,West Wendover,1,11,40.74,77.0,3.1
184,Caceres,36,82,5.53,72.86,0.76
185,Longyearbyen,75,74,78.22,33.8,3.6
186,Tromso,75,87,69.65,42.8,3.6
187,Novoagansk,92,100,61.94,42.35,3.81
188,Grand-Santi,88,100,4.27,72.41,1.06
189,Antigonish,90,93,45.62,48.2,3.6
190,Savinskiy,56,87,62.93,38.12,1.11
191,Aswan,0,35,24.09,71.24000000000001,3.66
192,Wanning,40,82,48.64,64.4,1.5
193,Cidreira,8,88,-30.17,53.6,6.81
194,Abnub,0,40,27.27,73.4,6.2
195,Mago,20,52,53.27,62.78,1.61
196,Viedma,64,86,-40.81,40.46,1.81
197,Sitka,0,24,37.17,82.75999999999999,7.96
198,Magadan,40,58,59.56,57.2,2.0
199,Kathmandu,40,93,27.71,64.4,1.0
200,Muisne,80,78,0.61,78.17,2.51
201,Salalah,75,89,17.01,84.2,2.6
202,Nanortalik,92,89,60.14,36.5,4.06
203,Ostrovnoy,68,96,68.05,34.07,1.41
204,Pangnirtung,32,99,66.15,29.75,2.31
205,Souris,90,93,46.36,42.8,12.3
206,Oranjemund,0,99,-28.55,59.09,4.56
207,Morozovsk,0,55,48.35,45.68,1.61
208,Abbeville,90,100,50.11,53.6,2.1
209,Graaff-Reinet,0,76,-32.25,36.32,1.06
210,Kahului,90,69,20.89,82.4,6.46
211,Mandalgovi,0,48,45.76,49.730000000000004,5.81
212,Kalikino,48,62,52.95,54.5,5.11
213,Kattivakkam,40,78,13.22,82.4,2.6
214,Bartica,0,94,6.41,77.0,3.1
215,Gat,0,92,14.69,69.98,2.21
216,Hilo,90,94,19.71,73.4,3.1
217,Shiyan,32,81,32.65,65.84,1.26
218,Ponta do Sol,20,79,-20.63,59.45,1.61
219,Marawi,24,88,8.0,76.37,1.46
220,Imeni Babushkina,0,85,59.76,35.87,1.21
221,Kushima,75,73,31.5,73.4,2.1
222,Gibraleon,8,70,37.38,64.94,5.91
223,Mahibadhoo,88,100,3.78,83.21000000000001,7.91
224,Carnarvon,0,71,-30.97,24.89,1.36
225,Bongor,44,79,10.28,77.53999999999999,1.76
226,Chara,20,68,39.42,64.4,1.11
227,Rio Gallegos,0,92,-51.62,30.2,3.1
228,Cabo San Lucas,40,45,22.89,87.80000000000001,2.1
229,Russell,90,70,-33.01,44.6,1.5
230,Beihai,0,44,38.95,75.2,3.0
231,Anadyr,90,93,64.73,37.4,19.0
232,Richards Bay,0,96,-28.77,62.33,3.56
233,Biak,76,100,-0.91,77.45,1.66
234,Coahuayana,44,41,18.62,84.47,1.01
235,Hovd,20,81,63.83,51.8,7.2
236,Grand Gaube,40,73,-20.01,73.4,4.6
237,Abensberg,1,100,48.82,60.8,1.36
238,Virginia Beach,90,88,36.85,77.0,2.1
239,Vegueta,44,66,-11.02,57.019999999999996,0.71
240,Kalianget,12,100,-7.74,74.84,1.96
241,Kachiry,20,72,53.07,48.47,5.81
242,Paamiut,92,94,61.99,37.04,0.96
243,Alugan,76,100,12.22,81.95,3.46
244,Lebu,76,97,8.96,52.790000000000006,1.21
245,Yumen,12,56,40.29,54.05,3.21
246,Zwedru,88,95,6.07,74.03,2.26
247,Guanica,40,78,17.97,80.6,5.46
248,Indian Head,48,91,50.53,55.129999999999995,8.86
249,Makuyuni,88,95,-5.02,66.11,1.06
250,Mirnyy,0,57,56.57,54.5,4.01
251,Broome,56,93,52.47,60.8,0.5
252,Acurenam,88,98,1.03,71.06,1.01
253,Lorengau,100,100,-2.02,79.25,0.91
254,Mayo,75,34,63.59,64.4,3.1
255,Hamilton,75,83,32.3,78.80000000000001,8.2
256,Hay River,75,50,60.82,57.2,6.7
257,Padang,0,100,-0.92,83.21000000000001,1.31
258,Maniitsoq,0,96,65.42,31.19,2.61
259,Diamantino,0,73,-14.4,70.07,4.11
260,Constitucion,5,6,23.99,93.2,3.6
261,Komatipoort,0,86,-25.43,55.85,1.46
262,Vestmanna,24,93,62.16,46.4,2.6
263,Alihe,0,59,50.57,74.03,2.11
264,Teya,90,88,21.05,73.4,2.1
265,Mackenzie,90,25,55.34,60.8,4.6
266,Nioro,0,56,13.79,79.34,4.36
267,Kathu,0,49,-27.7,35.87,1.66
268,Saint-Francois,0,87,46.42,59.0,1.31
269,Payakumbuh,76,95,-0.23,72.32,1.21
270,Saskylakh,76,76,71.97,43.97,7.21
271,Concordia,0,100,-31.4,44.6,4.66
272,Ambulu,20,100,-8.35,75.47,1.96
273,Ribeira Grande,92,96,38.52,68.09,7.41
274,Kimbe,92,100,-5.56,74.12,1.51
275,Pitimbu,40,94,-7.47,75.2,2.1
276,Derzhavinsk,8,64,51.1,40.91,6.61
277,Upernavik,8,97,72.79,29.75,0.96
278,Boras,0,72,57.72,59.0,2.1
279,Kalmunai,64,100,7.42,76.19,1.36
280,Saldanha,32,73,41.42,57.74,1.96
281,Port-Cartier,20,37,50.03,50.0,8.7
282,Chimbote,12,92,-9.08,65.30000000000001,2.41
283,Mahebourg,40,73,-20.41,73.4,4.6
284,Zhangjiakou,68,49,40.77,58.28,3.96
285,Cockburn Town,0,97,21.46,80.24000000000001,7.81
286,Vestmannaeyjar,92,99,63.44,46.4,3.96
287,Namatanai,20,100,-3.66,81.59,1.51
288,Carutapera,92,100,-1.2,76.64,3.11
289,Yaan,24,93,7.38,76.19,2.51
290,Mount Gambier,0,88,-37.83,43.879999999999995,1.16
291,Touros,76,93,-5.2,77.63,5.61
292,Dehloran,0,31,32.69,85.28,5.46
293,Toora-Khem,0,83,52.47,49.55,0.96
294,Novyy Urgal,0,73,51.07,73.31,3.31
295,Belaya Gora,92,75,68.54,35.24,5.56
296,Taoudenni,92,21,22.68,87.62,3.81
297,Pangkalanbuun,20,91,-2.68,77.36,1.86
298,San Juan,75,78,14.6,82.4,1.61
299,Laguna,75,11,27.52,104.0,8.7
300,Juneau,75,66,58.3,55.400000000000006,2.1
301,Boysun,92,59,38.2,56.39,0.91
302,Teguldet,20,37,57.31,68.45,4.31
303,Antofagasta,90,71,-23.65,57.2,3.6
304,Pevek,92,93,69.7,35.24,2.06
305,Beloha,0,91,-25.17,66.38,4.86
306,Bandarbeyla,0,80,9.49,80.69,11.86
307,Rocha,88,90,-34.48,49.55,5.16
308,Jonkoping,0,87,57.78,55.400000000000006,2.1
309,Kavieng,68,100,-2.57,82.22,3.01
310,Oum Hadjer,8,52,13.3,80.24000000000001,4.81
311,Sal Rei,20,88,16.18,69.80000000000001,7.2
312,Farafangana,88,100,-22.82,74.30000000000001,5.11
313,Bluefield,20,77,37.27,75.2,1.81
314,Eau Claire,90,88,44.81,66.2,2.1
315,San Patricio,8,86,-26.98,50.269999999999996,2.56
316,Alofi,44,65,-19.06,80.6,6.7
317,Husavik,92,93,50.56,59.45,5.71
318,South Sioux City,20,50,42.47,77.0,7.2
319,Vygonichi,64,47,53.1,60.89,5.61
320,Isangel,24,100,-19.55,77.27,3.31
321,Gobabis,0,39,-22.45,50.72,3.76
322,Martapura,20,95,-3.41,80.15,2.21
323,Tomatlan,56,84,19.93,80.50999999999999,1.81
324,Foam Lake,48,92,51.65,51.89,8.26
325,Batemans Bay,92,100,-35.71,55.400000000000006,2.91
326,Valdemarpils,0,100,57.37,50.0,5.11
327,Kharp,92,94,66.82,33.17,3.41
328,Agawam,75,94,42.07,80.6,1.76
329,Yarkovo,0,68,54.81,64.4,6.0
330,Tucuman,24,76,-17.17,51.17,0.66
331,Florianopolis,75,87,-27.6,60.8,4.1
332,Chake Chake,0,99,-5.25,80.42,8.06
333,Ancud,0,84,-41.87,34.97,2.61
334,Macusani,92,100,-14.07,49.64,1.01
335,Kamloops,75,22,50.68,75.2,2.1
336,Pierre,20,33,44.37,73.4,8.7
337,Zhezkazgan,0,63,47.8,42.44,5.86
338,Stephenville,1,35,32.22,100.4,3.1
339,Yar-Sale,56,98,66.83,30.47,2.61
340,Hervey Bay,0,100,-25.3,61.43000000000001,3.11
341,Pangody,36,97,65.85,33.26,4.41
342,Tsibanobalka,0,66,44.98,51.8,5.0
343,Kibaya,40,77,-2.2,68.0,0.96
344,Naberera,100,96,-4.2,64.94,1.86
345,Baiyin,90,47,36.55,57.2,3.0
346,Lerwick,92,100,60.15,51.8,1.0
347,Cherskiy,44,80,68.75,38.84,1.46
348,Savannah Bight,80,96,16.45,83.48,8.51
349,Vallenar,0,71,-28.58,44.15,0.46
350,Tongzi,76,90,28.78,69.80000000000001,1.61
351,Kaeo,76,88,-35.1,62.96,5.96
352,Mayumba,32,95,-3.44,74.57,2.56
353,Horsham,0,90,-36.71,45.5,1.31
354,Gibsons,75,52,49.4,68.0,3.6
355,Haines Junction,0,44,60.75,48.83,1.31
356,Puri,0,85,-7.54,72.59,1.36
357,Port Lincoln,0,100,-34.72,55.76,1.26
358,Visnes,0,93,59.36,62.6,2.6
359,Byron Bay,92,56,-28.65,71.6,5.7
360,Sao Miguel do Araguaia,0,81,-13.28,70.78999999999999,1.26
361,Muscat,0,89,23.6,87.80000000000001,4.1
362,Catuday,24,100,16.29,81.05000000000001,3.86
363,Mersing,0,97,2.43,78.08000000000001,2.11
364,Kieta,48,100,-6.22,81.23,1.96
365,Inuvik,20,44,68.36,59.0,5.7
366,Havre-Saint-Pierre,75,57,50.23,48.2,6.2
367,Najran,0,44,17.54,80.6,3.1
368,Raudeberg,0,87,61.99,57.2,0.5
369,Cangucu,8,79,-31.39,48.92,5.61
370,Yeppoon,0,67,-23.13,66.2,4.6
371,Coihaique,0,86,-45.58,26.6,0.86
372,Isilkul,48,88,54.9,40.19,6.01
373,Kremenchuk,0,49,49.08,55.67,4.41
374,Vanderhoof,36,50,54.02,54.14,2.06
375,Majenang,32,95,-7.3,70.34,1.61
376,Shchelkun,75,75,56.3,41.0,2.0
377,Rajkot,0,90,22.3,78.62,3.41
378,Caravelas,92,100,-17.73,74.84,5.91
379,Villaviciosa,75,100,43.48,59.0,1.0
380,Soyo,0,93,-6.13,73.75999999999999,2.06
381,Malegaon,12,94,20.56,74.30000000000001,4.76
382,Okha,76,49,53.59,59.09,5.36
383,Verkhnetulomskiy,75,93,68.61,41.0,1.0
384,Parry Sound,0,32,45.34,68.9,3.46
385,Niksic,0,100,42.77,71.6,0.5
386,Epe,20,93,52.18,59.0,0.5
387,Mwinilunga,0,70,-11.73,55.129999999999995,1.86
388,Hastings,92,100,-39.64,56.21,9.26
389,Alexandria,40,55,31.31,93.2,4.1
390,Eureka,75,87,40.8,60.8,5.7
391,Shimoda,20,78,34.7,71.6,4.1
392,Iqaluit,90,80,63.75,30.2,6.2
393,Airai,0,78,-8.93,71.33000000000001,0.96
394,Vanavara,0,72,60.35,52.7,2.51
395,Biloela,0,57,-24.4,54.95,4.21
396,Belyy Yar,0,71,53.6,55.400000000000006,1.0
397,Klaksvik,8,93,62.23,46.4,2.6
398,Pochutla,90,78,15.74,84.2,1.36
399,San Vicente,68,83,13.64,73.4,2.1
400,Xuddur,20,69,4.12,73.22,5.06
401,Hammerfest,92,93,70.66,39.2,4.6
402,Wajima,0,77,37.4,69.80000000000001,1.0
403,Fatezh,56,53,52.09,55.67,4.56
404,Sistranda,40,81,63.73,48.2,3.6
405,Guerrero Negro,0,51,27.97,72.23,6.31
406,Lam Luk Ka,20,78,13.93,82.4,3.6
407,Rongcheng,0,73,37.16,72.32,3.21
408,Port-Gentil,40,88,-0.72,78.80000000000001,5.1
409,Ust-Uda,0,70,54.17,56.75,1.41
410,Villa Alemana,0,76,-33.04,50.0,1.11
411,Puerto Madryn,0,100,-42.77,41.18,0.96
412,Vanimo,92,100,-2.67,77.09,3.56
413,Saint-Leu,75,60,-21.15,73.4,3.1
414,Pastavy,0,76,55.11,55.94,3.51
415,Sao Filipe,0,97,14.9,72.32,6.06
416,Maine-Soroa,0,48,13.21,83.39,4.36
417,Victoria,75,88,5.28,82.4,2.96
418,Winnemucca,1,10,40.97,84.2,3.1
419,Resistencia,0,87,-27.45,50.0,2.6
420,Eydhafushi,92,100,5.1,83.30000000000001,8.96
421,Pisco,0,72,-13.71,66.2,5.1
422,Kibungo,40,77,-2.14,68.0,0.96
423,Suntar,8,49,62.16,57.47,1.66
424,Kota Belud,75,83,6.35,78.80000000000001,1.0
425,Kailua,75,65,21.39,86.0,3.6
426,Sabzevar,20,52,36.21,66.92,3.11
427,Musoma,64,99,-1.5,69.44,2.66
428,Ambanja,0,66,-13.68,63.59,2.21
429,Tiruchchendur,92,97,8.48,77.18,6.56
430,Omboue,44,99,-1.57,78.53,5.71
431,Lac du Bonnet,92,91,50.25,57.379999999999995,7.16
432,Shellbrook,75,76,53.22,53.6,3.6
433,San Borja,100,82,-14.86,62.24,1.51
434,Ruteng,0,98,-8.61,72.59,1.76
435,Port Hardy,90,87,50.7,53.6,3.6
436,Arrifes,20,77,37.77,64.4,3.6
437,Nome,1,62,30.04,89.6,5.7
438,Matagami,24,93,9.67,68.0,1.31
439,Kijang,32,78,35.24,71.6,0.5
440,Kollam,75,88,8.88,78.80000000000001,3.1
441,Menongue,0,70,-14.66,54.32,1.16
442,Mmathubudukwane,0,60,-24.61,42.8,1.01
443,Matay,0,47,28.42,72.14,4.36
444,Vostok,0,64,46.45,74.57,1.26
445,Zabaykalsk,0,34,49.64,67.55000000000001,7.46
446,Filadelfia,68,76,-22.35,55.67,5.26
447,Rayagada,24,96,19.17,70.07,1.06
448,Hirara,75,83,24.8,82.4,3.6
449,Iberia,80,97,-11.41,67.00999999999999,1.81
450,Ayagoz,92,83,47.96,61.34,9.21
451,Bubaque,0,78,11.28,78.80000000000001,3.1
452,Ranau,92,86,5.95,71.42,0.76
453,Gourcy,0,82,13.21,77.36,1.46
454,Liwale,0,61,-9.8,67.37,2.51
455,Hyeres,48,93,43.12,62.6,0.36
456,Tornio,0,59,61.12,64.4,3.6
457,Moa,64,87,20.66,76.00999999999999,0.96
458,Honningsvag,92,100,70.98,39.92,7.16
459,Rawson,0,77,-43.3,23.54,1.41
460,Jalgaon,8,78,21.0,78.35,3.91
461,Poya,0,100,-21.35,72.59,4.21
462,Meulaboh,68,100,4.14,79.43,1.36
463,Wajir,0,84,1.75,73.03999999999999,3.41
464,Kununurra,0,27,-15.77,75.2,3.6
465,Boulder,1,21,40.02,80.6,2.6
466,Weligama,92,100,5.97,77.36,5.36
467,Rorvik,92,100,64.86,45.5,2.21
468,Luancheng,32,68,37.88,69.80000000000001,1.0
469,Barmer,0,51,25.74,82.85,6.11
470,Kez,88,99,57.9,38.03,6.46
471,Oyama,20,68,36.31,71.6,1.5
472,San Carlos de Bariloche,75,64,-41.13,37.4,3.6
473,Lasa,20,88,34.92,69.80000000000001,3.6
474,Saurimo,0,42,-9.66,60.26,3.16
475,Ejura,88,97,7.38,73.03999999999999,0.91
476,Palmer,0,47,-34.85,57.2,2.1
477,Puquio,100,71,-14.69,37.94,1.16
478,Atar,0,33,20.52,80.69,2.61
479,Waipawa,92,97,-39.94,51.89,6.11
480,Beringovskiy,92,92,63.05,35.15,10.31
481,Edgewater,40,58,28.99,86.0,8.2
482,Polis,20,88,35.04,68.0,3.6
483,Gwadar,56,97,25.12,83.30000000000001,3.56
484,Kudymkar,80,96,59.01,38.39,4.56
485,Alekseyevskaya,0,38,45.77,53.870000000000005,4.16
486,Carupano,8,79,10.67,81.14,6.66
487,Long Xuyen,92,100,10.39,74.75,1.06
488,Tokur,0,54,53.13,73.31,2.21
489,Kupino,32,92,54.36,48.47,8.61
490,Severo-Yeniseyskiy,44,62,60.37,59.81,3.91
491,Aljezur,0,100,37.31,59.72,6.11
492,East Foothills,20,21,37.38,95.0,7.2
493,Ketchikan,90,66,55.34,55.400000000000006,8.2
494,Broken Hill,0,83,-31.97,48.11,2.01
495,Ginir,0,85,7.14,57.019999999999996,2.11
496,Preobrazheniye,0,69,42.9,76.64,1.06
497,Rumoi,75,52,43.93,68.0,9.3
498,Coquimbo,0,81,-29.95,51.8,2.6
499,Estelle,40,44,32.87,98.60000000000001,3.1
500,Praia,0,72,-20.25,68.0,0.36
501,Gushikawa,90,83,26.35,78.80000000000001,4.6
502,Libreville,40,83,0.39,80.6,5.1
